"trial","ref_position","var_area","response","correct","rt"
1,"R",13.6619060970843,"L",TRUE,5.09499979019165
2,"R",14.9541919135954,"L",TRUE,1.0789999961853
3,"R",8.27619409817271,"R",TRUE,1.29900002479553
4,"R",8.90048700012267,"L",FALSE,3.70599985122681
5,"L",9.82931979605928,"R",TRUE,1.38299989700317
6,"L",11.864665995352,"R",TRUE,1.28299999237061
7,"R",14.239410558017,"L",TRUE,1.08200001716614
8,"R",8.43389780353755,"R",TRUE,1.18599987030029
9,"R",8.89177834708244,"L",FALSE,1.49000000953674
10,"L",12.2197555282619,"R",TRUE,1.69299983978271
11,"L",14.244350977242,"R",TRUE,1.59100008010864
12,"L",12.9261040394194,"R",TRUE,0.789999961853027
13,"R",14.5248115581926,"L",TRUE,0.996999979019165
14,"L",9.16716275503859,"R",TRUE,1.09099984169006
15,"L",14.7873774766922,"R",TRUE,1.08399987220764
16,"R",8.53717877226882,"R",TRUE,1.29399991035461
17,"R",9.1364182732068,"L",TRUE,0.677999973297119
18,"R",13.6751833662856,"L",TRUE,0.89799976348877
19,"L",13.5404445182066,"R",TRUE,0.890999794006348
20,"L",9.71036942233332,"R",TRUE,1.08800005912781
21,"L",8.94115343899466,"L",TRUE,1.70199990272522
22,"L",11.7423032626975,"R",TRUE,0.781999826431274
