"trial","ref_position","var_area","response","correct","rt"
1,"R",14.9618608851451,"L",TRUE,5.98800015449524
2,"R",8.21475083613768,"R",TRUE,1.47699999809265
3,"R",8.70534095657058,"R",TRUE,0.971999883651733
4,"L",12.8726481886115,"R",TRUE,0.972000122070312
5,"L",9.40031710453331,"R",TRUE,0.789000034332275
6,"R",14.9719615546055,"L",TRUE,0.997999906539917
7,"R",13.1202508925926,"L",TRUE,0.809999942779541
8,"R",11.572353489697,"L",TRUE,0.582000017166138
9,"L",9.67985870805569,"R",TRUE,0.892999887466431
10,"L",14.3206765498035,"R",TRUE,0.785000085830688
11,"L",8.2451274280902,"R",FALSE,0.680000066757202
12,"R",9.21039513475262,"R",FALSE,1.0789999961853
13,"R",10.2425537535455,"L",TRUE,1.28900003433228
14,"L",10.0122534586117,"R",TRUE,0.888000011444092
15,"L",8.06875988724642,"L",TRUE,1.09100008010864
16,"R",10.2723248319235,"R",FALSE,1.18999981880188
17,"R",12.4881530387793,"L",TRUE,0.894999980926514
18,"L",11.5127074958291,"R",TRUE,0.991000175476074
19,"L",11.4745913825464,"R",TRUE,0.886999845504761
20,"R",14.8861405327916,"L",TRUE,1.09699988365173
